,year,fuel_type,CO2
44660,1826,Coal,1.22
44661,1827,Coal,1.308
44662,1828,Coal,1.209
44663,1829,Coal,1.066
44664,1830,Coal,0.989
44665,1831,Coal,0.81
44666,1832,Coal,1.033
44667,1833,Coal,1.074
44668,1834,Coal,1.129
44669,1835,Coal,1.209
44670,1836,Coal,1.37
44671,1837,Coal,1.473
44672,1838,Coal,1.587
44673,1839,Coal,1.682
44674,1840,Coal,1.968
44675,1841,Coal,2.14
44676,1842,Coal,2.283
44677,1843,Coal,2.246
44678,1844,Coal,2.393
44679,1845,Coal,2.792
44680,1846,Coal,2.95
44681,1847,Coal,3.023
44682,1848,Coal,3.045
44683,1849,Coal,3.004
44684,1850,Coal,3.202
44685,1851,Coal,3.459
44686,1852,Coal,4.129
44687,1853,Coal,4.316
44688,1854,Coal,4.778
44689,1855,Coal,5.621
44690,1856,Coal,6.317
44691,1857,Coal,6.716
44692,1858,Coal,7.705
44693,1859,Coal,7.112
44694,1860,Coal,7.486
44695,1861,Coal,7.669
44696,1862,Coal,8.805
44697,1863,Coal,10.054
44698,1864,Coal,11.219
44699,1865,Coal,12.421
44700,1866,Coal,12.153
44701,1867,Coal,13.293
44702,1868,Coal,15.118
44703,1869,Coal,15.612
44704,1870,Coal,16.664
44705,1871,Coal,18.972
44706,1872,Coal,20.632
44707,1873,Coal,22.35
44708,1874,Coal,24.432
44709,1875,Coal,23.992
44710,1876,Coal,24.519
44711,1877,Coal,23.061
44712,1878,Coal,24.259
44713,1879,Coal,26.395
44714,1880,Coal,26.249
44715,1881,Coal,26.11
44716,1882,Coal,27.103
44717,1883,Coal,29.774
44718,1884,Coal,31.03
44719,1885,Coal,32.401
44720,1886,Coal,33.302
44721,1887,Coal,33.529
44722,1888,Coal,37.303
44723,1889,Coal,40.3
44724,1890,Coal,41.586
44725,1891,Coal,45.075
44726,1892,Coal,42.821
44727,1893,Coal,45.042
44728,1894,Coal,45.69
44729,1895,Coal,48.376
44730,1896,Coal,51.688
44731,1897,Coal,54.147
44732,1898,Coal,58.836
44733,1899,Coal,60.936
44734,1900,Coal,62.24
44735,1901,Coal,65.655
44736,1902,Coal,63.893
44737,1903,Coal,66.425
44738,1904,Coal,66.853
44739,1905,Coal,72.448
44740,1906,Coal,76.431
44741,1907,Coal,83.741
44742,1908,Coal,87.753
44743,1909,Coal,89.134
44744,1910,Coal,89.127
44745,1911,Coal,95.128
44746,1912,Coal,107.425
44747,1913,Coal,112.789
44748,1914,Coal,94.315
44749,1915,Coal,92.417
44750,1916,Coal,106.029
44751,1917,Coal,118.406
44752,1918,Coal,99.155
44753,1919,Coal,0.176
44754,1920,Coal,73.756
44755,1921,Coal,72.936
44756,1922,Coal,69.924
44757,1923,Coal,50.673
44758,1924,Coal,45.943
44759,1925,Coal,45.664
44760,1926,Coal,46.185
44761,1927,Coal,58.411
44762,1928,Coal,59.991
44763,1929,Coal,70.019
44764,1930,Coal,53.795
44765,1931,Coal,52.399
44766,1932,Coal,39.982
44767,1933,Coal,41.136
44768,1934,Coal,43.037
44769,1935,Coal,43.84
44770,1936,Coal,47.475
44771,1937,Coal,53.663
44772,1938,Coal,56.7
44773,1939,Coal,49.827
44774,1940,Coal,165.638
44775,1941,Coal,164.059
44776,1942,Coal,180.456
44777,1943,Coal,196.339
44778,1944,Coal,187.802
44779,1945,Coal,58.807
44780,1946,Coal,102.757
44781,1947,Coal,89.468
44782,1948,Coal,86.199
44783,1949,Coal,102.577
44784,1950,Coal,109.183
44785,1951,Coal,118.662
44786,1952,Coal,124.268
44787,1953,Coal,134.806
44788,1954,Coal,141.87
44789,1955,Coal,147.777
44790,1956,Coal,159.531
44791,1957,Coal,171.017
44792,1958,Coal,168.599
44793,1959,Coal,180.419
44794,1960,Coal,188.868
44795,1961,Coal,194.782
44796,1962,Coal,202.26
44797,1963,Coal,215.469
44798,1964,Coal,224.643
44799,1965,Coal,225.592
44800,1966,Coal,228.934
44801,1967,Coal,232.668
44802,1968,Coal,244.337
44803,1969,Coal,258.166
44804,1970,Coal,261.488
44805,1971,Coal,267.827
44806,1972,Coal,280.945
44807,1973,Coal,281.175
44808,1974,Coal,288.935
44809,1975,Coal,310.029
44810,1976,Coal,327.184
44811,1977,Coal,341.877
44812,1978,Coal,351.839
44813,1979,Coal,358.841
44814,1980,Coal,380.898
44815,1981,Coal,336.45
44816,1982,Coal,349.736
44817,1983,Coal,350.744
44818,1984,Coal,366.148
44819,1985,Coal,379.026
44820,1986,Coal,383.064
44821,1987,Coal,394.734
44822,1988,Coal,377.561
44823,1989,Coal,355.925
44824,1990,Coal,302.284
44825,1991,Coal,303.094
44826,1992,Coal,293.86
44827,1993,Coal,293.178
44828,1994,Coal,283.683
44829,1995,Coal,282.565
44830,1996,Coal,293.186
44831,1997,Coal,277.516
44832,1998,Coal,251.777
44833,1999,Coal,239.663
44834,2000,Coal,228.827
44835,2001,Coal,226.152
44836,2002,Coal,219.897
44837,2003,Coal,226.406
44838,2004,Coal,226.424
44839,2005,Coal,222.638
44840,2006,Coal,232.308
44841,2007,Coal,227.707
44842,2008,Coal,220.472
44843,2009,Coal,209.074
44844,2010,Coal,220.927
44845,2011,Coal,218.379
44846,2012,Coal,214.04
44847,2013,Coal,214.314
44848,2014,Coal,202.997
44849,2015,Coal,201.647
44850,2016,Coal,202.099
44851,2017,Coal,203.598
44852,2018,Coal,198.804
44853,2019,Coal,178.996
44854,2020,Coal,160.834
44855,1870,Coal,0.022
44856,1871,Coal,0.037
44857,1872,Coal,0.52
44858,1873,Coal,0.725
44859,1874,Coal,0.531
44860,1875,Coal,1.169
44861,1876,Coal,1.147
44862,1877,Coal,0.671
44863,1878,Coal,0.641
44864,1879,Coal,0.707
44865,1880,Coal,0.879
44866,1881,Coal,0.89
44867,1882,Coal,1.059
44868,1883,Coal,1.121
44869,1884,Coal,1.172
44870,1885,Coal,1.085
44871,1886,Coal,1.202
44872,1887,Coal,1.238
44873,1888,Coal,1.337
44874,1889,Coal,1.539
44875,1890,Coal,1.641
44876,1891,Coal,1.704
44877,1892,Coal,1.649
44878,1893,Coal,1.469
44879,1894,Coal,1.73
44880,1895,Coal,1.652
44881,1896,Coal,1.689
44882,1897,Coal,1.773
44883,1898,Coal,2.037
44884,1899,Coal,2.096
44885,1900,Coal,2.422
44886,1901,Coal,2.327
44887,1902,Coal,2.565
44888,1903,Coal,2.455
44889,1904,Coal,2.524
44890,1905,Coal,2.462
44891,1906,Coal,2.84
44892,1907,Coal,3.096
44893,1908,Coal,3.078
44894,1909,Coal,3.129
44895,1910,Coal,3.184
44896,1911,Coal,3.078
44897,1912,Coal,3.587
44898,1913,Coal,3.759
44899,1914,Coal,3.29
44900,1915,Coal,3.001
44901,1916,Coal,2.902
44902,1917,Coal,1.568
44903,1918,Coal,1.063
44904,1919,Coal,2.063
44905,1920,Coal,2.012
44906,1921,Coal,2.085
44907,1922,Coal,2.84
44908,1923,Coal,2.495
44909,1924,Coal,2.832
44910,1925,Coal,2.931
44911,1926,Coal,2.909
44912,1927,Coal,3.364
44913,1928,Coal,3.609
44914,1929,Coal,3.583
44915,1930,Coal,3.891
44916,1931,Coal,3.488
44917,1932,Coal,2.946
44918,1933,Coal,3.484
44919,1934,Coal,3.506
44920,1935,Coal,3.668
44921,1936,Coal,3.47
44922,1937,Coal,4.214
44923,1938,Coal,3.393
44924,1939,Coal,3.964
44925,1940,Coal,3.092
44926,1941,Coal,3.089
44927,1942,Coal,2.774
44928,1943,Coal,2.551
44929,1944,Coal,2.788
44930,1945,Coal,2.634
44931,1946,Coal,2.627
44932,1947,Coal,3.594
44933,1948,Coal,3.206
44934,1949,Coal,3.646
44935,1950,Coal,3.191
44936,1951,Coal,2.222
44937,1952,Coal,2.034
44938,1953,Coal,2.396
44939,1954,Coal,1.748
44940,1955,Coal,2.223
44941,1956,Coal,2.286
44942,1957,Coal,2.473
44943,1958,Coal,2.44
44944,1959,Coal,2.616
44945,1960,Coal,2.363
44946,1961,Coal,2.741
44947,1962,Coal,2.609
44948,1963,Coal,2.942
44949,1964,Coal,3.187
44950,1965,Coal,3.191
44951,1966,Coal,3.243
44952,1967,Coal,2.84
44953,1968,Coal,2.587
44954,1969,Coal,2.73
44955,1970,Coal,3.009
44956,1971,Coal,2.341
44957,1972,Coal,1.641
44958,1973,Coal,2.147
44959,1974,Coal,1.785
44960,1975,Coal,1.638
44961,1976,Coal,1.315
44962,1977,Coal,1.253
44963,1978,Coal,1.689
44964,1979,Coal,1.682
44965,1980,Coal,1.627
44966,1981,Coal,1.425
44967,1982,Coal,1.209
44968,1983,Coal,1.605
44969,1984,Coal,1.59
44970,1985,Coal,2.865
44971,1986,Coal,5.467
44972,1987,Coal,6.951
44973,1988,Coal,7.914
44974,1989,Coal,9.563
44975,1990,Coal,10.993
44976,1991,Coal,11.594
44977,1992,Coal,11.88
44978,1993,Coal,12.536
44979,1994,Coal,13.188
44980,1995,Coal,14.594
44981,1996,Coal,13.55
44982,1997,Coal,13.732
44983,1998,Coal,12.307
44984,1999,Coal,14.909
44985,2000,Coal,15.015
44986,2001,Coal,12.713
44987,2002,Coal,13.72
44988,2003,Coal,12.987
44989,2004,Coal,13.094
44990,2005,Coal,13.076
44991,2006,Coal,13.082
44992,2007,Coal,11.446
44993,2008,Coal,9.849
44994,2009,Coal,10.75
44995,2010,Coal,6.44
44996,2011,Coal,8.647
44997,2012,Coal,11.15
44998,2013,Coal,10.206
44999,2014,Coal,10.328
45000,2015,Coal,12.575
45001,2016,Coal,10.832
45002,2017,Coal,12.407
45003,2018,Coal,10.389
45004,2019,Coal,5.04
45005,2020,Coal,2.334
45006,1920,Coal,
45007,1921,Coal,
45008,1922,Coal,
45009,1923,Coal,
45010,1924,Coal,
45011,1925,Coal,
45012,1926,Coal,
45013,1927,Coal,
45014,1928,Coal,
45015,1929,Coal,
45016,1930,Coal,
45017,1931,Coal,
45018,1932,Coal,
45019,1933,Coal,
45020,1934,Coal,
45021,1935,Coal,
45022,1936,Coal,
45023,1937,Coal,
45024,1938,Coal,
45025,1939,Coal,
45026,1940,Coal,
45027,1941,Coal,
45028,1942,Coal,
45029,1943,Coal,
45030,1944,Coal,
45031,1945,Coal,
45032,1946,Coal,
45033,1947,Coal,
45034,1948,Coal,
45035,1949,Coal,
45036,1950,Coal,
45037,1951,Coal,
45038,1952,Coal,
45039,1953,Coal,
45040,1954,Coal,
45041,1955,Coal,
45042,1956,Coal,
45043,1957,Coal,
45044,1958,Coal,
45045,1959,Coal,
45046,1960,Coal,
45047,1961,Coal,
45048,1962,Coal,
45049,1963,Coal,
45050,1964,Coal,
45051,1965,Coal,
45052,1966,Coal,
45053,1967,Coal,
45054,1968,Coal,
45055,1969,Coal,
45056,1970,Coal,
45057,1971,Coal,
45058,1972,Coal,
45059,1973,Coal,
45060,1974,Coal,
45061,1975,Coal,
45062,1976,Coal,
45063,1977,Coal,
45064,1978,Coal,
45065,1979,Coal,
45066,1980,Coal,
45067,1981,Coal,
45068,1982,Coal,
45069,1983,Coal,
45070,1984,Coal,
45071,1985,Coal,
45072,1986,Coal,
45073,1987,Coal,
45074,1988,Coal,
45075,1989,Coal,
45076,1990,Coal,
45077,1991,Coal,
45078,1992,Coal,
45079,1993,Coal,
45080,1994,Coal,
45081,1995,Coal,
45082,1996,Coal,
45083,1997,Coal,
45084,1998,Coal,
45085,1999,Coal,
45086,2000,Coal,
45087,2001,Coal,
45088,2002,Coal,
45089,2003,Coal,
45090,2004,Coal,
45091,2005,Coal,
45092,2006,Coal,
45093,2007,Coal,
45094,2008,Coal,
45095,2009,Coal,
45096,2010,Coal,
45097,2011,Coal,
45098,2012,Coal,
45099,2013,Coal,
45100,2014,Coal,
45101,2015,Coal,
45102,2016,Coal,
45103,2017,Coal,
45104,2018,Coal,
45105,2019,Coal,
45106,2020,Coal,
45107,1949,Coal,
45108,1950,Coal,
45109,1951,Coal,
45110,1952,Coal,
45111,1953,Coal,
45112,1954,Coal,
45113,1955,Coal,
45114,1956,Coal,
45115,1957,Coal,
45116,1958,Coal,
45117,1959,Coal,
45118,1960,Coal,
45119,1961,Coal,
45120,1962,Coal,
45121,1963,Coal,
45122,1964,Coal,
45123,1965,Coal,
45124,1966,Coal,
45125,1967,Coal,
45126,1968,Coal,
45127,1969,Coal,
45128,1970,Coal,
45129,1971,Coal,
45130,1972,Coal,
45131,1973,Coal,
45132,1974,Coal,
45133,1975,Coal,
45134,1976,Coal,
45135,1977,Coal,
45136,1978,Coal,
45137,1979,Coal,
45138,1980,Coal,
45139,1981,Coal,
45140,1982,Coal,
45141,1983,Coal,
45142,1984,Coal,
45143,1985,Coal,
45144,1986,Coal,
45145,1987,Coal,
45146,1988,Coal,
45147,1989,Coal,
45148,1990,Coal,
45149,1991,Coal,
45150,1992,Coal,
45151,1993,Coal,
45152,1994,Coal,
45153,1995,Coal,
45154,1996,Coal,
45155,1997,Coal,
45156,1998,Coal,
45157,1999,Coal,
45158,2000,Coal,
45159,2001,Coal,
45160,2002,Coal,
45161,2003,Coal,
45162,2004,Coal,
45163,2005,Coal,
45164,2006,Coal,
45165,2007,Coal,
45166,2008,Coal,
45167,2009,Coal,
45168,2010,Coal,
45169,2011,Coal,
45170,2012,Coal,
45171,2013,Coal,
45172,2014,Coal,
45173,2015,Coal,
45174,2016,Coal,
45175,2017,Coal,
45176,2018,Coal,
45177,2019,Coal,
45178,2020,Coal,
45179,1950,Coal,
45180,1951,Coal,
45181,1952,Coal,
45182,1953,Coal,
45183,1954,Coal,
45184,1955,Coal,
45185,1956,Coal,
45186,1957,Coal,
45187,1958,Coal,
45188,1959,Coal,
45189,1960,Coal,
45190,1961,Coal,
45191,1962,Coal,
45192,1963,Coal,
45193,1964,Coal,
45194,1965,Coal,
45195,1966,Coal,
45196,1967,Coal,
45197,1968,Coal,
45198,1969,Coal,
45199,1970,Coal,
45200,1971,Coal,
45201,1972,Coal,
45202,1973,Coal,
45203,1974,Coal,
45204,1975,Coal,
45205,1976,Coal,
45206,1977,Coal,
45207,1978,Coal,
45208,1979,Coal,
45209,1980,Coal,
45210,1981,Coal,
45211,1982,Coal,
45212,1983,Coal,
45213,1984,Coal,
45214,1985,Coal,
45215,1986,Coal,
45216,1987,Coal,
45217,1988,Coal,
45218,1989,Coal,
45219,1990,Coal,
45220,1991,Coal,
45221,1992,Coal,0.244
45222,1993,Coal,0.261
45223,1994,Coal,0.271
45224,1995,Coal,0.273
45225,1996,Coal,0.405
45226,1997,Coal,0.655
45227,1998,Coal,0.754
45228,1999,Coal,0.81
45229,2000,Coal,1.061
45230,2001,Coal,1.105
45231,2002,Coal,1.084
45232,2003,Coal,1.068
45233,2004,Coal,0.939
45234,2005,Coal,1.476
45235,2006,Coal,1.642
45236,2007,Coal,1.966
45237,2008,Coal,2.054
45238,2009,Coal,1.921
45239,2010,Coal,2.059
45240,2011,Coal,2.065
45241,2012,Coal,2.042
45242,2013,Coal,2.001
45243,2014,Coal,1.998
45244,2015,Coal,2.03
45245,2016,Coal,2.077
45246,2017,Coal,2.038
45247,2018,Coal,2.02
45248,2019,Coal,2.106
45249,2020,Coal,2.106
45250,1858,Coal,
45251,1859,Coal,
45252,1860,Coal,
45253,1861,Coal,
45254,1862,Coal,
45255,1863,Coal,
45256,1864,Coal,
45257,1865,Coal,
45258,1866,Coal,
45259,1867,Coal,
45260,1868,Coal,
45261,1869,Coal,
45262,1870,Coal,
45263,1871,Coal,
45264,1872,Coal,
45265,1873,Coal,
45266,1874,Coal,
45267,1875,Coal,
45268,1876,Coal,
45269,1877,Coal,
45270,1878,Coal,
45271,1879,Coal,
45272,1880,Coal,
45273,1881,Coal,
45274,1882,Coal,0.165
45275,1883,Coal,0.348
45276,1884,Coal,0.384
45277,1885,Coal,0.367
45278,1886,Coal,0.41
45279,1887,Coal,0.451
45280,1888,Coal,0.539
45281,1889,Coal,0.52
45282,1890,Coal,0.641
45283,1891,Coal,0.887
45284,1892,Coal,0.799
45285,1893,Coal,0.905
45286,1894,Coal,0.828
45287,1895,Coal,0.832
45288,1896,Coal,0.866
45289,1897,Coal,0.975
45290,1898,Coal,1.158
45291,1899,Coal,0.918
45292,1900,Coal,0.476
45293,1901,Coal,0.68
45294,1902,Coal,0.597
45295,1903,Coal,0.583
45296,1904,Coal,0.56
45297,1905,Coal,0.568
45298,1906,Coal,0.619
45299,1907,Coal,1.034
45300,1908,Coal,0.893
45301,1909,Coal,0.697
45302,1910,Coal,0.747
45303,1911,Coal,0.791
45304,1912,Coal,0.187
45305,1913,Coal,1.323
45306,1914,Coal,0.231
45307,1915,Coal,0.275
45308,1916,Coal,0.238
45309,1917,Coal,0.293
45310,1918,Coal,0.216
45311,1919,Coal,1.781
45312,1920,Coal,1.777
45313,1921,Coal,2.012
45314,1922,Coal,2.481
45315,1923,Coal,3.325
45316,1924,Coal,3.654
45317,1925,Coal,3.942
45318,1926,Coal,3.879
45319,1927,Coal,4.085
45320,1928,Coal,3.877
45321,1929,Coal,4.056
45322,1930,Coal,3.129
45323,1931,Coal,2.558
45324,1932,Coal,2.114
45325,1933,Coal,1.898
45326,1934,Coal,2.297
45327,1935,Coal,2.415
45328,1936,Coal,2.466
45329,1937,Coal,2.722
45330,1938,Coal,2.945
45331,1939,Coal,2.748
45332,1940,Coal,2.964
45333,1941,Coal,2.704
45334,1942,Coal,2.917
45335,1943,Coal,3.188
45336,1944,Coal,2.422
45337,1945,Coal,2.22
45338,1946,Coal,2.07
45339,1947,Coal,2.352
45340,1948,Coal,6.24
45341,1949,Coal,
45342,1950,Coal,6.719
45343,1951,Coal,7.421
45344,1952,Coal,8.592
45345,1953,Coal,9.469
45346,1954,Coal,10.351
45347,1955,Coal,11.202
45348,1956,Coal,12.0
45349,1957,Coal,12.938
45350,1958,Coal,13.397
45351,1959,Coal,14.187
45352,1960,Coal,15.191
45353,1961,Coal,15.957
45354,1962,Coal,18.617
45355,1963,Coal,19.949
45356,1964,Coal,20.954
45357,1965,Coal,22.288
45358,1966,Coal,24.256
45359,1967,Coal,26.447
45360,1968,Coal,29.891
45361,1969,Coal,33.922
45362,1970,Coal,32.715
45363,1971,Coal,32.982
45364,1972,Coal,35.424
45365,1973,Coal,39.938
45366,1974,Coal,41.759
45367,1975,Coal,43.99
45368,1976,Coal,43.835
45369,1977,Coal,44.712
45370,1978,Coal,50.194
45371,1979,Coal,54.0
45372,1980,Coal,53.503
45373,1981,Coal,58.683
45374,1982,Coal,56.562
45375,1983,Coal,66.306
45376,1984,Coal,66.736
45377,1985,Coal,70.803
45378,1986,Coal,71.089
45379,1987,Coal,75.312
45380,1988,Coal,81.903
45381,1989,Coal,83.572
45382,1990,Coal,49.195
45383,1991,Coal,40.939
45384,1992,Coal,43.442
45385,1993,Coal,38.874
45386,1994,Coal,39.254
45387,1995,Coal,40.801
45388,1996,Coal,40.308
45389,1997,Coal,35.764
45390,1998,Coal,30.766
45391,1999,Coal,25.203
45392,2000,Coal,28.634
45393,2001,Coal,30.814
45394,2002,Coal,31.76
45395,2003,Coal,34.607
45396,2004,Coal,34.364
45397,2005,Coal,34.518
45398,2006,Coal,37.121
45399,2007,Coal,40.721
45400,2008,Coal,38.567
45401,2009,Coal,30.005
45402,2010,Coal,27.725
45403,2011,Coal,32.351
45404,2012,Coal,29.715
45405,2013,Coal,23.77
45406,2014,Coal,23.962
45407,2015,Coal,24.105
45408,2016,Coal,21.177
45409,2017,Coal,21.074
45410,2018,Coal,20.056
45411,2019,Coal,17.674
45412,2020,Coal,12.943
45413,1830,Coal,0.011
45414,1831,Coal,0.013
45415,1832,Coal,0.009
45416,1833,Coal,0.011
45417,1834,Coal,
45418,1835,Coal,
45419,1836,Coal,
45420,1837,Coal,
45421,1838,Coal,
45422,1839,Coal,
45423,1840,Coal,
45424,1841,Coal,
45425,1842,Coal,
45426,1843,Coal,
45427,1844,Coal,
45428,1845,Coal,
45429,1846,Coal,
45430,1847,Coal,
45431,1848,Coal,
45432,1849,Coal,
45433,1850,Coal,0.069
45434,1851,Coal,
45435,1852,Coal,
45436,1853,Coal,
45437,1854,Coal,
45438,1855,Coal,0.21
45439,1856,Coal,
45440,1857,Coal,
45441,1858,Coal,0.295
45442,1859,Coal,0.313
45443,1860,Coal,0.407
45444,1861,Coal,0.519
45445,1862,Coal,0.467
45446,1863,Coal,0.485
45447,1864,Coal,0.541
45448,1865,Coal,0.514
45449,1866,Coal,1.661
45450,1867,Coal,1.9
45451,1868,Coal,1.551
45452,1869,Coal,2.125
45453,1870,Coal,2.311
45454,1871,Coal,3.147
45455,1872,Coal,3.227
45456,1873,Coal,2.967
45457,1874,Coal,3.564
45458,1875,Coal,4.027
45459,1876,Coal,4.895
45460,1877,Coal,4.819
45461,1878,Coal,6.362
45462,1879,Coal,6.363
45463,1880,Coal,7.501
45464,1881,Coal,7.556
45465,1882,Coal,7.912
45466,1883,Coal,9.059
45467,1884,Coal,8.429
45468,1885,Coal,8.725
45469,1886,Coal,8.907
45470,1887,Coal,8.735
45471,1888,Coal,8.941
45472,1889,Coal,10.025
45473,1890,Coal,10.954
45474,1891,Coal,11.367
45475,1892,Coal,12.163
45476,1893,Coal,14.183
45477,1894,Coal,15.325
45478,1895,Coal,15.914
45479,1896,Coal,16.465
45480,1897,Coal,19.219
45481,1898,Coal,21.463
45482,1899,Coal,26.122
45483,1900,Coal,29.097
45484,1901,Coal,28.241
45485,1902,Coal,27.679
45486,1903,Coal,28.42
45487,1904,Coal,32.748
45488,1905,Coal,31.904
45489,1906,Coal,36.423
45490,1907,Coal,41.702
45491,1908,Coal,42.03
45492,1909,Coal,44.152
45493,1910,Coal,42.427
45494,1911,Coal,45.498
45495,1912,Coal,53.352
45496,1913,Coal,59.806
45497,1914,Coal,51.857
45498,1915,Coal,44.808
45499,1916,Coal,47.698
45500,1917,Coal,44.508
45501,1918,Coal,17.355
45502,1919,Coal,12.406
45503,1920,Coal,11.587
45504,1921,Coal,13.359
45505,1922,Coal,16.258
45506,1923,Coal,17.816
45507,1924,Coal,22.658
45508,1925,Coal,21.486
45509,1926,Coal,33.974
45510,1927,Coal,42.809
45511,1928,Coal,49.056
45512,1929,Coal,50.417
45513,1930,Coal,59.543
45514,1931,Coal,71.16
45515,1932,Coal,87.769
45516,1933,Coal,102.612
45517,1934,Coal,126.991
45518,1935,Coal,147.066
45519,1936,Coal,171.014
45520,1937,Coal,173.739
45521,1938,Coal,183.232
45522,1939,Coal,185.856
45523,1940,Coal,232.307
45524,1941,Coal,197.951
45525,1942,Coal,83.618
45526,1943,Coal,96.215
45527,1944,Coal,144.122
45528,1945,Coal,186.077
45529,1946,Coal,207.788
45530,1947,Coal,249.469
45531,1948,Coal,262.358
45532,1949,Coal,297.003
45533,1950,Coal,329.473
45534,1951,Coal,357.15
45535,1952,Coal,378.113
45536,1953,Coal,395.534
45537,1954,Coal,429.811
45538,1955,Coal,482.957
45539,1956,Coal,518.276
45540,1957,Coal,553.939
45541,1958,Coal,571.548
45542,1959,Coal,583.937
45543,1960,Coal,585.156
45544,1961,Coal,574.964
45545,1962,Coal,570.995
45546,1963,Coal,592.005
45547,1964,Coal,609.364
45548,1965,Coal,629.896
45549,1966,Coal,651.114
45550,1967,Coal,655.901
45551,1968,Coal,648.671
45552,1969,Coal,657.658
45553,1970,Coal,702.837
45554,1971,Coal,716.498
45555,1972,Coal,738.426
45556,1973,Coal,746.022
45557,1974,Coal,747.541
45558,1975,Coal,769.737
45559,1976,Coal,789.861
45560,1977,Coal,802.296
45561,1978,Coal,797.6
45562,1979,Coal,798.155
45563,1980,Coal,841.148
45564,1981,Coal,761.608
45565,1982,Coal,771.647
45566,1983,Coal,765.596
45567,1984,Coal,760.233
45568,1985,Coal,866.023
45569,1986,Coal,893.981
45570,1987,Coal,900.891
45571,1988,Coal,916.015
45572,1989,Coal,882.514
45573,1990,Coal,751.447
45574,1991,Coal,703.063
45575,1992,Coal,519.647
45576,1993,Coal,505.784
45577,1994,Coal,453.037
45578,1995,Coal,477.269
45579,1996,Coal,475.88
45580,1997,Coal,410.447
45581,1998,Coal,399.021
45582,1999,Coal,405.457
45583,2000,Coal,425.032
45584,2001,Coal,443.553
45585,2002,Coal,422.074
45586,2003,Coal,423.655
45587,2004,Coal,413.793
45588,2005,Coal,414.913
45589,2006,Coal,434.372
45590,2007,Coal,419.411
45591,2008,Coal,448.428
45592,2009,Coal,415.65
45593,2010,Coal,415.282
45594,2011,Coal,426.382
45595,2012,Coal,441.257
45596,2013,Coal,403.814
45597,2014,Coal,392.613
45598,2015,Coal,412.58
45599,2016,Coal,400.713
45600,2017,Coal,383.256
45601,2018,Coal,394.979
45602,2019,Coal,388.868
45603,2020,Coal,356.946
45604,1950,Coal,0.002
45605,1951,Coal,
45606,1952,Coal,0.002
45607,1953,Coal,
45608,1954,Coal,
45609,1955,Coal,
45610,1956,Coal,
45611,1957,Coal,
45612,1958,Coal,
45613,1959,Coal,0.002
45614,1960,Coal,
45615,1961,Coal,0.005
45616,1962,Coal,
45617,1963,Coal,
45618,1964,Coal,
45619,1965,Coal,
45620,1966,Coal,
45621,1967,Coal,
45622,1968,Coal,
45623,1969,Coal,
45624,1970,Coal,
45625,1971,Coal,
45626,1972,Coal,
45627,1973,Coal,
45628,1974,Coal,
45629,1975,Coal,
45630,1976,Coal,
45631,1977,Coal,
45632,1978,Coal,
45633,1979,Coal,
45634,1980,Coal,
45635,1981,Coal,
45636,1982,Coal,
45637,1983,Coal,
45638,1984,Coal,
45639,1985,Coal,
45640,1986,Coal,
45641,1987,Coal,
45642,1988,Coal,
45643,1989,Coal,
45644,1990,Coal,
45645,1991,Coal,
45646,1992,Coal,
45647,1993,Coal,
45648,1994,Coal,
45649,1995,Coal,
45650,1996,Coal,
45651,1997,Coal,
45652,1998,Coal,
45653,1999,Coal,
45654,2000,Coal,
45655,2001,Coal,
45656,2002,Coal,
45657,2003,Coal,
45658,2004,Coal,
45659,2005,Coal,
45660,2006,Coal,
45661,2007,Coal,
45662,2008,Coal,
45663,2009,Coal,
45664,2010,Coal,
45665,2011,Coal,
45666,2012,Coal,
45667,2013,Coal,
45668,2014,Coal,
45669,2015,Coal,
45670,2016,Coal,
45671,2017,Coal,
45672,2018,Coal,0.007
45673,2019,Coal,0.006
45674,2020,Coal,0.006
45675,1952,Coal,
45676,1953,Coal,
45677,1954,Coal,
45678,1955,Coal,
45679,1956,Coal,
45680,1957,Coal,0.004
45681,1958,Coal,0.004
45682,1959,Coal,0.004
45683,1960,Coal,0.004
45684,1961,Coal,
45685,1962,Coal,0.004
45686,1963,Coal,0.004
45687,1964,Coal,0.004
45688,1965,Coal,
45689,1966,Coal,0.004
45690,1967,Coal,0.004
45691,1968,Coal,0.018
45692,1969,Coal,
45693,1970,Coal,0.004
45694,1971,Coal,0.004
45695,1972,Coal,
45696,1973,Coal,
45697,1974,Coal,
45698,1975,Coal,
45699,1976,Coal,
45700,1977,Coal,
45701,1978,Coal,
45702,1979,Coal,
45703,1980,Coal,
45704,1981,Coal,
45705,1982,Coal,
45706,1983,Coal,
45707,1984,Coal,
45708,1985,Coal,
45709,1986,Coal,
45710,1987,Coal,
45711,1988,Coal,
45712,1989,Coal,
45713,1990,Coal,
45714,1991,Coal,
45715,1992,Coal,
45716,1993,Coal,
45717,1994,Coal,
45718,1995,Coal,
45719,1996,Coal,
45720,1997,Coal,
45721,1998,Coal,
45722,1999,Coal,
45723,2000,Coal,
45724,2001,Coal,
45725,2002,Coal,
45726,2003,Coal,
45727,2004,Coal,
45728,2005,Coal,
45729,2006,Coal,
45730,2007,Coal,
45731,2008,Coal,
45732,2009,Coal,
45733,2010,Coal,
45734,2011,Coal,
45735,2012,Coal,
45736,2013,Coal,
45737,2014,Coal,
45738,2015,Coal,
45739,2016,Coal,
